FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,South Australia,Australia,2020-02-02T22:33:07,,,2,0,0,,"South Australia, Australia",AU,AustraliaSouth Australia-2020-02-02T22:33:07
0,Toronto,Ontario,Canada,2020-02-04T00:13:06,,,2,0,0,,"Toronto, Ontario, Canada",CA,CanadaOntarioToronto2020-02-04T00:13:06
0,-,-,Russia,2020-01-31T16:13:45,,,2,0,0,,Russia,RU,Russia--2020-01-31T16:13:45
0,-,-,Spain,2020-02-09T20:33:03,,,2,0,0,,Spain,ES,Spain--2020-02-09T20:33:03
0,Chicago,Illinois,US,2020-02-09T19:03:03,,,2,0,2,,"Chicago, Illinois, US",US,USIllinoisChicago2020-02-09T19:03:03
0,San Benito,California,US,2020-02-03T03:53:02,,,2,0,0,,"San Benito, California, US",US,USCaliforniaSan Benito2020-02-03T03:53:02
0,Santa Clara,California,US,2020-02-03T00:43:02,,,2,0,0,,"Santa Clara, California, US",US,USCaliforniaSanta Clara2020-02-03T00:43:02
0,-,-,Belgium,2020-02-04T15:43:02,,,1,0,0,,Belgium,BE,Belgium--2020-02-04T15:43:02
0,-,-,Cambodia,2020-01-31T08:15:53,,,1,0,0,,Cambodia,KH,Cambodia--2020-01-31T08:15:53
0,London,Ontario,Canada,2020-02-04T00:03:11,,,1,0,0,,"London, Ontario, Canada",CA,CanadaOntarioLondon2020-02-04T00:03:11
0,-,-,Finland,2020-01-31T08:15:53,,,1,0,0,,Finland,FI,Finland--2020-01-31T08:15:53
0,-,Tibet,China,2020-02-01T01:52:40,,,1,0,0,,"Tibet, China",CN,ChinaTibet-2020-02-01T01:52:40
0,-,-,Nepal,2020-01-31T08:15:53,,,1,0,0,,Nepal,NP,Nepal--2020-01-31T08:15:53
0,-,-,Sri Lanka,2020-02-08T03:43:03,,,1,0,1,,Sri Lanka,LK,Sri Lanka--2020-02-08T03:43:03
0, ,-,Sweden,2020-02-01T02:13:26,,,1,0,0,,Sweden,SE,Sweden- 2020-02-01T02:13:26
0,Boston,Massachusetts,US,2020-02-01T19:43:03,,,1,0,0,,"Boston, Massachusetts, US",US,USMassachusettsBoston2020-02-01T19:43:03
0,Los Angeles,California,US,2020-02-01T19:53:03,,,1,0,0,,"Los Angeles, California, US",US,USCaliforniaLos Angeles2020-02-01T19:53:03
0,Madison, Wisconsin,US,2020-02-05T21:53:02,,,1,0,0,,"Madison,  Wisconsin, US",US,US WisconsinMadison2020-02-05T21:53:02
0,Orange,California,US,2020-02-01T19:53:03,,,1,0,0,,"Orange, California, US",US,USCaliforniaOrange2020-02-01T19:53:03
0,Seattle, Washington,US,2020-02-09T07:03:04,,,1,0,1,,"Seattle,  Washington, US",US,US WashingtonSeattle2020-02-09T07:03:04
0,Tempe, Arizona,US,2020-02-01T19:43:03,,,1,0,0,,"Tempe,  Arizona, US",US,US ArizonaTempe2020-02-01T19:43:03
