FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Hubei,China,2020-03-04T12:53:03,30.9756,112.2707,67332,2871,38557,,"Hubei, China",CN,"ChinaHubei,2020-03-04T12:53:03",0,0
0,-,-,South Korea,2020-03-04T19:23:03,36,128,5621,35,41,,South Korea,KR,South Korea--2020-03-04T19:23:03,,
0,-,-,Italy,2020-03-04T19:23:03,43,12,3089,107,276,,Italy,IT,Italy--2020-03-04T19:23:03,,
0,-,-,Iran,2020-03-04T12:33:03,32,53,2922,92,552,,Iran,IR,Iran--2020-03-04T12:33:03,,
0,-,Guangdong,China,2020-03-04T10:03:19,23.3417,113.4244,1350,7,1133,,"Guangdong, China",CN,ChinaGuangdong-2020-03-04T10:03:19,,
0,-,Henan,China,2020-03-04T00:33:05,33.882,113.614,1272,22,1234,,"Henan, China",CN,ChinaHenan-2020-03-04T00:33:05,,
0,-,Zhejiang,China,2020-03-04T10:03:19,29.1832,120.0934,1213,1,1114,,"Zhejiang, China",CN,ChinaZhejiang-2020-03-04T10:03:19,,
0,-,Hunan,China,2020-03-04T15:43:02,27.6104,111.7088,1018,4,916,,"Hunan, China",CN,ChinaHunan-2020-03-04T15:43:02,,
0,-,Anhui,China,2020-03-04T10:03:19,31.8257,117.2264,990,6,956,,"Anhui, China",CN,ChinaAnhui-2020-03-04T10:03:19,,
0,-,Jiangxi,China,2020-03-04T01:33:07,27.614,115.7221,935,1,884,,"Jiangxi, China",CN,ChinaJiangxi-2020-03-04T01:33:07,, 
0,-,Shandong,China,2020-03-04T12:53:03,36.3427,118.1498,758,6,516,,"Shandong, China",CN,ChinaShandong-2020-03-04T12:53:03,, 
0,-,Diamond Princess cruise ship,Others,2020-03-03T03:13:06,35.4437,139.638,706,6,10,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-03-03T03:13:06,,44
0,-,Jiangsu,China,2020-03-04T12:53:03,32.9711,119.455,631,0,577,,"Jiangsu, China",CN,ChinaJiangsu-2020-03-04T12:53:03,,
0,-,Chongqing,China,2020-03-04T23:23:01,30.0572,107.874,576,6,502,,"Chongqing, China",CN,ChinaChongqing-2020-03-04T23:23:01,,
0,-,Sichuan,China,2020-03-04T12:53:03,30.6171,102.7103,538,3,406,,"Sichuan, China",CN,ChinaSichuan-2020-03-04T12:53:03,,
0,-,Heilongjiang,China,2020-03-04T12:53:03,47.862,127.7615,480,13,373,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-03-04T12:53:03,,
0,-,Beijing,China,2020-03-04T23:23:01,40.1824,116.4142,418,8,297,,"Beijing, China",CN,ChinaBeijing-2020-03-04T23:23:01,,
0,-,Shanghai,China,2020-03-04T04:13:08,31.202,121.4491,338,3,298,,"Shanghai, China",CN,ChinaShanghai-2020-03-04T04:13:08,,
0,-,-,Japan,2020-03-04T19:23:03,36,138,331,6,43,,Japan,JP,Japan--2020-03-04T19:23:03,,
0,-,Hebei,China,2020-03-04T10:03:19,38.0428,114.5149,318,6,301,,"Hebei, China",CN,ChinaHebei-2020-03-04T10:03:19,,
0,-,Fujian,China,2020-03-04T12:53:03,26.0789,117.9874,296,1,270,,"Fujian, China",CN,ChinaFujian-2020-03-04T12:53:03,,
0,-,-,France,2020-03-04T20:43:02,47,2,285,4,12,,France,FR,France--2020-03-04T20:43:02,,
0,-,-,Germany,2020-03-04T19:33:03,51,9,262,0,16,,Germany,DE,Germany--2020-03-04T19:33:03,,
0,-,Guangxi,China,2020-03-04T00:13:08,23.8298,108.7881,252,2,210,,"Guangxi, China",CN,ChinaGuangxi-2020-03-04T00:13:08,,
0,-,Shaanxi,China,2020-03-04T15:43:03,35.1917,108.8701,245,1,223,,"Shaanxi, China",CN,ChinaShaanxi-2020-03-04T15:43:03,,
0,-,-,Spain,2020-03-04T20:43:02,40,-4,222,2,2,,Spain,ES,Spain--2020-03-04T20:43:02,,
0,-,Yunnan,China,2020-03-03T03:43:02,24.974,101.487,174,2,169,,"Yunnan, China",CN,ChinaYunnan-2020-03-03T03:43:02,,
0,-,Hainan,China,2020-03-04T10:03:19,19.1959,109.7453,168,5,158,,"Hainan, China",CN,ChinaHainan-2020-03-04T10:03:19,,
0,-,Guizhou,China,2020-03-02T01:13:06,26.8154,106.8748,146,2,114,,"Guizhou, China",CN,ChinaGuizhou-2020-03-02T01:13:06,,
0,-,Tianjin,China,2020-03-03T11:43:02,39.3054,117.323,136,3,124,,"Tianjin, China",CN,ChinaTianjin-2020-03-03T11:43:02,,
0,-,Shanxi,China,2020-03-03T23:13:05,37.5777,112.2922,133,0,124,,"Shanxi, China",CN,ChinaShanxi-2020-03-03T23:13:05,,
0,-,Liaoning,China,2020-03-03T14:33:03,41.2956,122.6085,125,1,106,,"Liaoning, China",CN,ChinaLiaoning-2020-03-03T14:33:03,,
0,-,-,Singapore,2020-03-03T15:23:03,1.2833,103.8333,110,0,78,,Singapore,SG,Singapore--2020-03-03T15:23:03,,
0,-,Hong Kong,Hong Kong,2020-03-04T23:23:01,22.3,114.2,105,2,37,,"Hong Kong, Hong Kong",HK,Hong KongHong Kong-2020-03-04T23:23:01,,
0,-,Jilin,China,2020-03-04T10:03:19,43.6661,126.1923,93,1,86,,"Jilin, China",CN,ChinaJilin-2020-03-04T10:03:19,,
0,-,Gansu,China,2020-03-04T15:43:03,36.0611,103.8343,91,2,87,,"Gansu, China",CN,ChinaGansu-2020-03-04T15:43:03,,
0,-,-,Switzerland,2020-03-04T19:33:03,46.8182,8.2275,90,0,3,,Switzerland,CH,Switzerland--2020-03-04T19:33:03,,
0,-,-,UK,2020-03-04T19:33:03,55,-3,85,0,8,,UK,UK,UK--2020-03-04T19:33:03,,
0,-,Xinjiang,China,2020-03-04T15:43:03,41.1129,85.2401,76,3,69,,"Xinjiang, China",CN,ChinaXinjiang-2020-03-04T15:43:03,,
0,-,Inner Mongolia,China,2020-03-04T15:43:03,44.0935,113.9448,75,1,63,,"Inner Mongolia, China",CN,ChinaInner Mongolia-2020-03-04T15:43:03,,
0,-,Ningxia,China,2020-03-04T01:33:07,37.2692,106.1655,75,0,69,,"Ningxia, China",CN,ChinaNingxia-2020-03-04T01:33:07, ,
0,-,-,Kuwait,2020-03-02T20:33:02,29.5,47.75,56,0,0,,Kuwait,KW,Kuwait--2020-03-02T20:33:02,44,
0,-,-,Norway,2020-03-04T19:33:03,60.472,8.4689,56,0,0,,Norway,NO,Norway--2020-03-04T19:33:03,,
0,-,-,Bahrain,2020-03-04T19:33:03,26.0275,50.55,52,0,0,,Bahrain,BH,Bahrain--2020-03-04T19:33:03,,
0,-,-,Malaysia,2020-03-04T13:03:08,2.5,112.5,50,0,22,,Malaysia,MY,Malaysia--2020-03-04T13:03:08,,
0,-,Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,35.4437,139.638,45,0,0,,"Unassigned Location (From Diamond Princess), US",US,USUnassigned Location (From Diamond Princess)-2020-03-02T19:53:03,,
0,-,-,Thailand,2020-03-02T06:23:04,15,101,43,1,31,,Thailand,TH,Thailand--2020-03-02T06:23:04,,
0,-,Taiwan,Taiwan,2020-03-03T06:43:02,23.7,121,42,1,12,,"Taiwan, Taiwan",TW,TaiwanTaiwan-2020-03-03T06:43:02,,
0,-,-,Netherlands,2020-03-04T12:33:03,52.1326,5.2913,38,0,0,,Netherlands,NL,Netherlands--2020-03-04T12:33:03,,
0,-,-,Iraq,2020-03-04T20:43:02,33,44,35,2,0,,Iraq,IQ,Iraq--2020-03-04T20:43:02,,
0,-,-,Sweden,2020-03-04T12:33:03,63,16,35,0,0,,Sweden,SE,Sweden--2020-03-04T12:33:03,,
0,King County,Washington  ,US,2020-03-04T19:53:02,47.548,-121.9836,31,9,1,,"Washington  , US",US,USWashington  King County2020-03-04T19:53:02,,
0,-,-,Austria,2020-03-04T19:33:03,47.5162,14.5501,29,0,0,,Austria,AT,Austria--2020-03-04T19:33:03,,
0,-,-,India,2020-03-04T12:33:03,21,78,28,0,3,,India,ID,India--2020-03-04T12:33:03,,
0,-,-,United Arab Emirates,2020-03-03T23:43:02,24,54,27,0,5,,United Arab Emirates,AE,United Arab Emirates--2020-03-03T23:43:02,,
0,-,-,Iceland,2020-03-04T19:33:03,64.9631,-19.0208,26,0,0,,Iceland,IS,Iceland--2020-03-04T19:33:03,,
0,-,-,Belgium,2020-03-04T12:33:03,50.8333,4,23,0,1,,Belgium,BE,Belgium--2020-03-04T12:33:03,,
0,-,New South Wales,Australia,2020-03-04T20:43:03,-33.8688,151.2093,22,1,4,,"New South Wales, Australia",AU,AustraliaNew South Wales-2020-03-04T20:43:03,,
0,Toronto,Ontario,Canada,2020-03-03T20:03:08,43.6532,-79.3832,19,0,2,,"Ontario, Canada",CA,CanadaOntarioToronto2020-03-03T20:03:08,,
0,-,Qinghai,China,2020-02-21T04:43:02,35.7452,95.9956,18,0,18,,"Qinghai, China",CN,ChinaQinghai-2020-02-21T04:43:02,,
0,-,-,San Marino,2020-03-04T19:33:03,43.9424,12.4578,16,1,0,,San Marino,SM,San Marino--2020-03-04T19:33:03,,
0,-,-,Vietnam,2020-02-25T08:53:02,16,108,16,0,16,,Vietnam,VN,Vietnam--2020-02-25T08:53:02,,
0,-,-,Israel,2020-03-04T12:43:03,31,35,15,0,1,,Israel,IL,Israel--2020-03-04T12:43:03,,
0,-,-,Oman,2020-03-04T19:33:03,21,57,15,0,2,,Oman,OM,Oman--2020-03-04T19:33:03,,
0,-,-,Lebanon,2020-03-04T16:53:02,33.8547,35.8623,13,0,1,,Lebanon,LB,Lebanon--2020-03-04T16:53:02,,
0,-,-,Algeria,2020-03-04T19:33:03,28.0339,1.6596,12,0,0,,Algeria,DZ,Algeria--2020-03-04T19:33:03,,
0,-,British Columbia,Canada,2020-03-04T04:23:05,49.2827,-123.1207,12,0,3,,"British Columbia, Canada",CA,CanadaBritish Columbia-2020-03-04T04:23:05,,
0,-,Queensland,Australia,2020-03-03T15:23:03,-28.0167,153.4,11,0,1,,"Queensland, Australia",AU,AustraliaQueensland-2020-03-03T15:23:03,,
0,Santa Clara,California,US,2020-03-03T23:33:03,37.3541,-121.9552,11,0,1,,"California, US",US,USCaliforniaSanta Clara2020-03-03T23:33:03,,
0,-,Victoria,Australia,2020-03-04T12:43:03,-37.8136,144.9631,10,0,4,,"Victoria, Australia",AU,AustraliaVictoria-2020-03-04T12:43:03,,
0,-,-,Croatia,2020-03-04T16:53:02,45.1667,15.5,10,0,0,,Croatia,HR,Croatia--2020-03-04T16:53:02,,
0,-,-,Denmark,2020-03-04T00:03:15,56.2639,9.5018,10,0,0,,Denmark,DK,Denmark--2020-03-04T00:03:15,,
0,-,-,Ecuador,2020-03-04T19:33:03,-1.8312,-78.1834,10,0,0,,Ecuador,EC,Ecuador--2020-03-04T19:33:03,,
0,-,Macau,Macau,2020-03-03T12:33:02,22.1667,113.55,10,0,9,,"Macau, Macau",MO,MacauMacau-2020-03-03T12:33:02,,
0,Westchester County,New York,US,2020-03-04T21:23:10,41.122,-73.7949,10,0,0,,"New York, US",US,USNew YorkWestchester County2020-03-04T21:23:10,,
0,-,-,Greece,2020-03-04T19:33:03,39.0742,21.8243,9,0,0,,Greece,GR,Greece--2020-03-04T19:33:03,,
0,-,-,Czech Republic,2020-03-04T19:33:03,49.8175,15.473,8,0,0,,Czech Republic,CZ,Czech Republic--2020-03-04T19:33:03,,
0,-,-,Qatar,2020-03-04T00:03:15,25.3548,51.1839,8,0,0,,Qatar,QA,Qatar--2020-03-04T00:03:15,,
0,Snohomish County,Washington,US,2020-03-04T19:53:02,48.033,-121.8339,8,1,0,,"Washington, US",US,USWashingtonSnohomish County2020-03-04T19:53:02,,
0,Los Angeles,California,US,2020-03-04T18:13:18,34.0522,-118.2437,7,0,0,,"California, US",US,USCaliforniaLos Angeles2020-03-04T18:13:18,,
0,-,-,Belarus,2020-03-04T12:43:03,53.7098,27.9534,6,0,0,,Belarus,BY,Belarus--2020-03-04T12:43:03,,
0,-,-,Finland,2020-03-01T23:23:02,64,26,6,0,1,,Finland,FI,Finland--2020-03-01T23:23:02,,
0,-,-,Ireland,2020-03-04T21:13:07,53.1424,-7.6921,6,0,0,,Ireland,IE,Ireland--2020-03-04T21:13:07,,
0,-,South Australia,Australia,2020-03-04T21:03:07,-34.9285,138.6007,5,0,2,,"South Australia, Australia",AU,AustraliaSouth Australia-2020-03-04T21:03:07,,
0,-,-,Mexico,2020-03-03T10:03:04,23,-102,5,0,1,,Mexico,MX,Mexico--2020-03-03T10:03:04,,
0,-,-,Pakistan,2020-03-03T04:33:03,30.3753,69.3451,5,0,0,,Pakistan,PK,Pakistan--2020-03-03T04:33:03,,
0,-,-,Portugal,2020-03-04T12:43:03,39.3999,-8.2245,5,0,0,,Portugal,PT,Portugal--2020-03-04T12:43:03,,
0,-,-,Brazil,2020-03-04T20:33:02,-14.235,-51.9253,4,0,0,,Brazil,BR,Brazil--2020-03-04T20:33:02,,
0,-,-,Romania,2020-03-04T00:53:02,46,25,4,0,1,,Romania,RO,Romania--2020-03-04T00:53:02,,
0,-,-,Senegal,2020-03-04T20:43:02,14.4974,-14.4524,4,0,0,,Senegal,SN,Senegal--2020-03-04T20:43:02,,
0,Cook County,Illinois,US,2020-03-02T20:33:02,41.7377,-87.6976,4,0,2,,"Illinois, US",US,USIllinoisCook County2020-03-02T20:33:02,,
0,-,-,Azerbaijan,2020-03-01T02:43:03,40.1431,47.5769,3,0,0,,Azerbaijan,AZ,Azerbaijan--2020-03-01T02:43:03,,
0,-,-,Georgia,2020-03-01T15:43:03,42.3154,43.3569,3,0,0,,Georgia,GE,Georgia--2020-03-01T15:43:03,,
0,-,-,New Zealand,2020-03-04T20:13:11,-40.9006,174.886,3,0,0,,New Zealand,NZ,New Zealand--2020-03-04T20:13:11,,
0,-,-,Philippines,2020-02-12T07:43:02,13,122,3,1,1,,Philippines,PH,Philippines--2020-02-12T07:43:02,,
0,-,-,Russia,2020-03-02T21:23:04,60,90,3,0,2,,Russia,RU,Russia--2020-03-02T21:23:04,,
0,-,-,Saint Barthelemy,2020-03-04T02:43:03,17.9,-62.8333,3,0,0,,Saint Barthelemy,BL,Saint Barthelemy--2020-03-04T02:43:03,,
0,Orange,California,US,2020-03-04T02:13:11,33.7879,-117.8531,3,0,0,,"California, US",US,USCaliforniaOrange2020-03-04T02:13:11,,
0,-,Western Australia,Australia,2020-03-01T02:43:03,-31.9505,115.8605,2,1,0,,"Western Australia, Australia",AU,AustraliaWestern Australia-2020-03-01T02:43:03,,
0,-,-,Egypt,2020-03-01T23:33:03,26,30,2,0,1,,Egypt,EG,Egypt--2020-03-01T23:33:03,,
0,Grafton County,New Hampshire,Estonia,2020-03-03T23:53:03,58.5953,25.0136,2,0,0,,"New Hampshire, Estonia",EE,EstoniaNew HampshireGrafton County2020-03-03T23:53:03,,
0,-,-,Hungary,2020-03-04T19:33:03,47.1625,19.5033,2,0,0,,Hungary,HU,Hungary--2020-03-04T19:33:03,,
0,-,-,Indonesia,2020-03-02T18:03:04,-0.7893,113.9213,2,0,0,,Indonesia,ID,Indonesia--2020-03-02T18:03:04,,
0,Fulton County,Georgia,US,2020-03-03T03:33:02,33.8034,-84.3963,2,0,0,,"Georgia, US",US,USGeorgiaFulton County2020-03-03T03:33:02,,
0,Grafton County,New Hampshire,US,2020-03-03T23:33:03,43.9088,-71.826,2,0,0,,"New Hampshire, US",US,USNew HampshireGrafton County2020-03-03T23:33:03,,
0,Hillsborough,Florida,US,2020-03-03T18:33:02,27.9904,-82.3018,2,0,0,,"Florida, US",US,USFloridaHillsborough2020-03-03T18:33:02,,
0,Placer County,California,US,2020-03-04T19:53:02,39.0916,-120.8039,2,1,0,,"California, US",US,USCaliforniaPlacer County2020-03-04T19:53:02,,
0,Providence,Rhode Island,US,2020-03-02T03:43:02,41.824,-71.4128,2,0,0,,"Rhode Island, US",US,USRhode IslandProvidence2020-03-02T03:43:02,,
0,Sacramento County,California,US,2020-02-27T20:33:02,38.4747,-121.3542,2,0,0,,"California, US",US,USCaliforniaSacramento County2020-02-27T20:33:02,,
0,San Benito,California,US,2020-02-03T03:53:02,36.5761,-120.9876,2,0,0,,"California, US",US,USCaliforniaSan Benito2020-02-03T03:53:02,,
0,San Diego County,California,US,2020-02-21T05:43:02,32.7157,-117.1611,2,0,1,,"California, US",US,USCaliforniaSan Diego County2020-02-21T05:43:02,,
0,San Mateo,California,US,2020-03-03T00:43:02,37.563,-122.3255,2,0,0,,"California, US",US,USCaliforniaSan Mateo2020-03-03T00:43:02,,
0,Washington County,Oregon,US,2020-03-03T03:03:02,45.547,-123.1386,2,0,0,,"Oregon, US",US,USOregonWashington County2020-03-03T03:03:02,,
0,-,-,Afghanistan,2020-02-24T23:33:02,33,65,1,0,0,,Afghanistan,AF,Afghanistan--2020-02-24T23:33:02,,
0,-,-,Andorra,2020-03-02T20:23:16,42.5063,1.5218,1,0,0,,Andorra,AD,Andorra--2020-03-02T20:23:16,,
0,-,-,Argentina,2020-03-04T01:33:07,-38.4161,-63.6167,1,0,0,,Argentina,AG,Argentina--2020-03-04T01:33:07,,
0,-,-,Armenia,2020-03-01T19:53:02,40.0691,45.0382,1,0,0,,Armenia,AM,Armenia--2020-03-01T19:53:02,,
0,-,Northern Territory,Australia,2020-03-04T19:43:02,-12.4634,130.8456,1,0,0,,"Northern Territory, Australia",AU,AustraliaNorthern Territory-2020-03-04T19:43:02,,
0,-,Tasmania,Australia,2020-03-02T20:53:02,-41.4545,145.9707,1,0,0,,"Tasmania, Australia",AU,AustraliaTasmania-2020-03-02T20:53:02,,
0,-,-,Cambodia,2020-02-12T07:43:02,11.55,104.9167,1,0,1,,Cambodia,KH,Cambodia--2020-02-12T07:43:02,,
