FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-08T23:33:06,,,27100,780,1439,,"Hubei, China",CN,ChinaHubei-2020-02-07T23:43:02
0,-,Guangdong,China,2020-02-08T11:53:01,,,1095,1,112,,"Guangdong, China",CN,ChinaGuangdong-2020-02-07T10:13:06
0,-,Zhejiang,China,2020-02-08T10:53:02,,,1048,0,175,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-07T11:33:11
0,-,Henan,China,2020-02-08T14:13:12,,,981,4,116,,"Henan, China",CN,ChinaHenan-2020-02-07T14:03:12
0,-,Hunan,China,2020-02-08T12:53:01,,,803,1,156,,"Hunan, China",CN,ChinaHunan-2020-02-07T11:33:11
0,-,Anhui,China,2020-02-08T07:43:02,,,733,0,59,,"Anhui, China",CN,ChinaAnhui-2020-02-07T05:13:07
0,-,Jiangxi,China,2020-02-08T01:23:02,,,698,0,55,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-07T01:23:02
0,-,Jiangsu,China,2020-02-08T10:23:04,,,439,0,51,,"Chongqing, China",CN,ChinaChongqing-2020-02-07T23:33:02
0,-,Chongqing,China,2020-02-08T11:03:15,,,428,2,39,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-07T14:03:12
0,-,Shandong,China,2020-02-08T11:33:02,,,416,0,44,,"Shandong, China",CN,ChinaShandong-2020-02-07T11:33:11
0,-,Sichuan,China,2020-02-08T15:23:04,,,364,1,60,,"Sichuan, China",CN,ChinaSichuan-2020-02-07T08:23:09
0,-,Beijing,China,2020-02-08T03:13:09,,,315,2,34,,"Beijing, China",CN,ChinaBeijing-2020-02-07T03:23:02
0,-,Heilongjiang,China,2020-02-08T04:03:09,,,295,5,13,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-07T07:43:02
0,-,Shanghai,China,2020-02-08T06:33:02,,,286,1,41,,"Shanghai, China",CN,ChinaShanghai-2020-02-07T06:14:15
0,-,Fujian,China,2020-02-08T08:13:10,,,239,0,24,,"Fujian, China",CN,ChinaFujian-2020-02-07T13:23:03
0,-,Hebei,China,2020-02-08T11:33:02,,,195,1,30,,"Shaanxi, China",CN,ChinaShaanxi-2020-02-07T08:23:09
0,-,Shaanxi,China,2020-02-08T10:13:06,,,195,0,20,,"Guangxi, China",CN,ChinaGuangxi-2020-02-07T00:33:02
0,-,Guangxi,China,2020-02-08T00:23:03,,,183,0,17,,"Hebei, China",CN,ChinaHebei-2020-02-07T12:03:04
0,-,Yunnan,China,2020-02-08T08:43:02,,,138,0,17,,"Yunnan, China",CN,ChinaYunnan-2020-02-07T23:23:04
0,-,Hainan,China,2020-02-08T10:23:04,,,124,2,14,,"Hainan, China",CN,ChinaHainan-2020-02-07T12:33:02
0,-,Shanxi,China,2020-02-08T23:53:02,,,115,0,21,,"Shanxi, China",CN,ChinaShanxi-2020-02-07T23:43:02
0,-,Liaoning,China,2020-02-08T11:53:01,,,105,0,8,,"Liaoning, China",CN,ChinaLiaoning-2020-02-07T15:33:03
