FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-11T23:33:02,,,33366,1068,2639,,"Hubei, China",CN,ChinaHubei-2020-02-11T23:33:02
0,-,Guangdong,China,2020-02-11T14:03:05,,,1177,1,212,,"Guangdong, China",CN,ChinaGuangdong-2020-02-11T14:03:05
0,-,Zhejiang,China,2020-02-11T12:53:02,,,1117,0,270,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-11T12:53:02
0,-,Henan,China,2020-02-11T14:03:05,,,1105,7,218,,"Henan, China",CN,ChinaHenan-2020-02-11T14:03:05
0,-,Hunan,China,2020-02-11T12:53:02,,,912,1,247,,"Hunan, China",CN,ChinaHunan-2020-02-11T12:53:02
0,-,Anhui,China,2020-02-11T09:43:02,,,860,4,105,,"Anhui, China",CN,ChinaAnhui-2020-02-11T09:43:02
0,-,Jiangxi,China,2020-02-11T14:03:05,,,804,1,128,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-11T14:03:05
0,-,Jiangsu,China,2020-02-11T08:13:06,,,515,0,93,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-11T08:13:06
0,-,Chongqing,China,2020-02-11T23:53:02,,,505,3,79,,"Chongqing, China",CN,ChinaChongqing-2020-02-11T23:53:02
0,-,Shandong,China,2020-02-11T11:23:04,,,487,1,80,,"Shandong, China",CN,ChinaShandong-2020-02-11T11:23:04
0,-,Sichuan,China,2020-02-11T11:23:04,,,417,1,85,,"Sichuan, China",CN,ChinaSichuan-2020-02-11T11:23:04
0,-,Heilongjiang,China,2020-02-11T11:23:04,,,360,8,28,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-11T11:23:04
0,-,Beijing,China,2020-02-11T03:03:07,,,342,3,48,,"Beijing, China",CN,ChinaBeijing-2020-02-11T03:03:07
0,-,Shanghai,China,2020-02-11T06:23:02,,,303,1,52,,"Shanghai, China",CN,ChinaShanghai-2020-02-11T06:23:02
0,-,Fujian,China,2020-02-11T14:03:05,,,267,0,45,,"Fujian, China",CN,ChinaFujian-2020-02-11T14:03:05
0,-,Hebei,China,2020-02-11T11:23:04,,,239,2,48,,"Hebei, China",CN,ChinaHebei-2020-02-11T11:23:04
0,-,Shaanxi,China,2020-02-11T06:03:16,,,219,0,32,,"Shaanxi, China",CN,ChinaShaanxi-2020-02-11T06:03:16
0,-,Guangxi,China,2020-02-11T11:23:04,,,215,1,33,,"Guangxi, China",CN,ChinaGuangxi-2020-02-11T11:23:04
0,-,Yunnan,China,2020-02-11T09:23:04,,,153,0,20,,"Yunnan, China",CN,ChinaYunnan-2020-02-11T09:23:04
0,-,Hainan,China,2020-02-11T14:33:02,,,144,3,20,,"Hainan, China",CN,ChinaHainan-2020-02-11T14:33:02
0,-,Diamond Princess cruise ship,Others,2020-02-10T16:03:12,,,135,0,0,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-02-10T16:03:12
0,-,Guizhou,China,2020-02-11T14:03:05,,,127,1,17,,"Guizhou, China",CN,ChinaGuizhou-2020-02-11T14:03:05
0,-,Shanxi,China,2020-02-11T23:33:02,,,124,0,30,,"Shanxi, China",CN,ChinaShanxi-2020-02-11T23:33:02
0,-,Liaoning,China,2020-02-11T12:53:02,,,111,0,19,,"Liaoning, China",CN,ChinaLiaoning-2020-02-11T12:53:02
0,-,Tianjin,China,2020-02-11T23:13:05,,,106,2,10,,"Tianjin, China",CN,ChinaTianjin-2020-02-11T23:13:05
0,-,Gansu,China,2020-02-11T15:23:04,,,86,2,24,,"Gansu, China",CN,ChinaGansu-2020-02-11T15:23:04
0,-,Jilin,China,2020-02-11T08:03:06,,,81,1,18,,"Jilin, China",CN,ChinaJilin-2020-02-11T08:03:06
0,-,Inner Mongolia,China,2020-02-10T02:43:05,,,58,0,5,,"Inner Mongolia, China",CN,ChinaInner Mongolia-2020-02-10T02:43:05
0,-,Xinjiang,China,2020-02-11T09:13:11,,,55,0,3,,"Xinjiang, China",CN,ChinaXinjiang-2020-02-11T09:13:11
0,-,Ningxia,China,2020-02-11T10:03:08,,,53,0,22,,"Ningxia, China",CN,ChinaNingxia-2020-02-11T10:03:08
