FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,New South Wales,Australia,2020-01-25,,,4,,,,"New South Wales, Australia",AU,AustraliaNew South Wales-43855.7083333333,,
0,-,Anhui,China,2020-01-25,,,39,,,,"Anhui, China",CN,ChinaAnhui-43855.7083333333,,
0,-,Beijing,China,2020-01-25,,,41,,2,,"Beijing, China",CN,ChinaBeijing-43855.7083333333,,
0,-,Chongqing,China,2020-01-25,,,57,,,,"Chongqing, China",CN,ChinaChongqing-43855.7083333333,,
0,-,Fujian,China,2020-01-25,,,18,,,,"Fujian, China",CN,ChinaFujian-43855.7083333333,,
0,-,Gansu,China,2020-01-25,,,4,,,,"Gansu, China",CN,ChinaGansu-43855.7083333333,,
0,-,Guangdong,China,2020-01-25,,,78,,2,,"Guangdong, China",CN,ChinaGuangdong-43855.7083333333,,
0,-,Guangxi,China,2020-01-25,,,23,,,,"Guangxi, China",CN,ChinaGuangxi-43855.7083333333,,
0,-,Guizhou,China,2020-01-25,,,4,,,,"Guizhou, China",CN,ChinaGuizhou-43855.7083333333,,
0,-,Hainan,China,2020-01-25,,,19,,,,"Hainan, China",CN,ChinaHainan-43855.7083333333,,
0,-,Hebei,China,2020-01-25,,,8,1,,,"Hebei, China",CN,ChinaHebei-43855.7083333333,,
0,-,Heilongjiang,China,2020-01-25,,,9,1,,,"Heilongjiang, China",CN,ChinaHeilongjiang-43855.7083333333,,
0,-,Henan,China,2020-01-25,,,32,,,,"Henan, China",CN,ChinaHenan-43855.7083333333,,
0,-,Hubei,China,2020-01-25,,,761,40,32,,"Hubei, China",CN,ChinaHubei-43855.7083333333,,
0,-,Hunan,China,2020-01-25,,,43,,,,"Hunan, China",CN,ChinaHunan-43855.7083333333,,
0,-,Inner Mongolia,China,2020-01-25,,,7,,,,"Inner Mongolia, China",CN,ChinaInner Mongolia-43855.7083333333,,
0,-,Jiangsu,China,2020-01-25,,,18,,1,,"Jiangsu, China",CN,ChinaJiangsu-43855.7083333333,,
0,-,Jiangxi,China,2020-01-25,,,18,,,,"Jiangxi, China",CN,ChinaJiangxi-43855.7083333333,,
0,-,Jilin,China,2020-01-25,,,4,,,,"Jilin, China",CN,ChinaJilin-43855.7083333333,,
0,-,Liaoning,China,2020-01-25,,,17,,,,"Liaoning, China",CN,ChinaLiaoning-43855.7083333333,,
0,-,Ningxia,China,2020-01-25,,,3,,,,"Ningxia, China",CN,ChinaNingxia-43855.7083333333,,
0,-,Qinghai,China,2020-01-25,,,1,,,,"Qinghai, China",CN,ChinaQinghai-43855.7083333333,,
0,-,Shaanxi,China,2020-01-25,,,15,,,,"Shaanxi, China",CN,ChinaShaanxi-43855.7083333333,,
0,-,Shandong,China,2020-01-25,,,27,,,,"Shandong, China",CN,ChinaShandong-43855.7083333333,,
0,-,Shanghai,China,2020-01-25,,,33,,1,,"Shanghai, China",CN,ChinaShanghai-43855.7083333333,,
0,-,Shanxi,China,2020-01-25,,,6,,,,"Shanxi, China",CN,ChinaShanxi-43855.7083333333,,
0,-,Sichuan,China,2020-01-25,,,28,,,,"Sichuan, China",CN,ChinaSichuan-43855.7083333333,,
0,-,Tianjin,China,2020-01-25,,,10,,,,"Tianjin, China",CN,ChinaTianjin-43855.7083333333,,
0,-,Xinjiang,China,2020-01-25,,,3,,,,"Xinjiang, China",CN,ChinaXinjiang-43855.7083333333,,
0,-,Yunnan,China,2020-01-25,,,11,,,,"Yunnan, China",CN,ChinaYunnan-43855.7083333333,,
0,-,Zhejiang,China,2020-01-25,,,62,,1,,"Zhejiang, China",CN,ChinaZhejiang-43855.7083333333,,
0,-,France,France,2020-01-25,,,3,,,,France,FR,FranceFrance-43855.7083333333,,
0,-,Hong Kong,China,2020-01-25,,,5,,,,"Hong Kong, China",HK,ChinaHong Kong-43855.7083333333,,
0,-,Japan,Japan,2020-01-25,,,2,,,,Japan,JP,JapanJapan-43855.7083333333,,
0,-,Macau,China,2020-01-25,,,2,,,,"Macau, China",MO,ChinaMacau-43855.7083333333,,
0,-,Malaysia,Malaysia,2020-01-25,,,3,,,,Malaysia,MY,MalaysiaMalaysia-43855.7083333333,,
0,-,Nepal,Nepal,2020-01-25,,,1,,,,Nepal,NP,NepalNepal-43855.7083333333,,
0,-,Singapore,Singapore,2020-01-25,,,3,,,,Singapore,SG,SingaporeSingapore-43855.7083333333,,
0,-,"Korea, South","Korea, South",2020-01-25,,,2,,,,"Korea, South",KR,"Korea, SouthKorea, South-43855.7083333333",,
0,-,Taiwan,Taiwan,2020-01-25,,,3,,,,Taiwan,TW,TaiwanTaiwan-43855.7083333333,,
0,-,Thailand,Thailand,2020-01-25,,,7,,,,Thailand,TH,ThailandThailand-43855.7083333333,,
0,Chicago,Illinois,US,2020-01-25,,,1,,,,"Chicago, Illinois, US",US,USIllinoisChicago43855.7083333333,,
0,Seattle,Washington,US,2020-01-25,,,1,,,,"Seattle, Washington, US",US,USWashingtonSeattle43855.7083333333,,
0,-,Vietnam,Vietnam,2020-01-25,,,2,,,,Vietnam,VN,VietnamVietnam-43855.7083333333,,
