FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Hubei,China,2020-03-01T10:13:19,30.9756,112.2707,66907,2761,31536,,"Hubei, China",CN,ChinaHubei-2020-03-01T10:13:19,0,0
0,-,-,South Korea,2020-03-01T23:43:03,36,128,3736,17,30,,South Korea,KR,South Korea--2020-03-01T23:43:03,,
0,-,-,Italy,2020-03-01T23:23:02,43,12,1694,34,83,,Italy,IT,Italy--2020-03-01T23:23:02,,
0,-,Guangdong,China,2020-03-01T14:13:18,23.3417,113.4244,1349,7,1016,,"Guangdong, China",CN,ChinaGuangdong-2020-03-01T14:13:18,,
0,-,Henan,China,2020-03-01T14:13:18,33.882,113.614,1272,22,1198,,"Henan, China",CN,ChinaHenan-2020-03-01T14:13:18,,
0,-,Zhejiang,China,2020-03-01T10:13:33,29.1832,120.0934,1205,1,1046,,"Zhejiang, China",CN,ChinaZhejiang-2020-03-01T10:13:33,,
0,-,Hunan,China,2020-03-01T10:03:03,27.6104,111.7088,1018,4,866,,"Hunan, China",CN,ChinaHunan-2020-03-01T10:03:03,,
0,-,Anhui,China,2020-03-01T10:03:03,31.8257,117.2264,990,6,873,,"Anhui, China",CN,ChinaAnhui-2020-03-01T10:03:03,,
0,-,-,Iran,2020-03-01T15:33:03,32,53,978,54,175,,Iran,IR,Iran--2020-03-01T15:33:03,,
0,-,Jiangxi,China,2020-03-01T01:13:10,27.614,115.7221,935,1,831,,"Jiangxi, China",CN,ChinaJiangxi-2020-03-01T01:13:10,, 
0,-,Shandong,China,2020-03-01T11:33:03,36.3427,118.1498,758,6,443,,"Shandong, China",CN,ChinaShandong-2020-03-01T11:33:03,, 
0,-,Diamond Princess cruise ship,Others,2020-02-29T01:43:02,35.4437,139.638,705,6,10,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-02-29T01:43:02,,44
0,-,Jiangsu,China,2020-03-01T10:03:03,32.9711,119.455,631,0,536,,"Jiangsu, China",CN,ChinaJiangsu-2020-03-01T10:03:03,,
0,-,Chongqing,China,2020-03-01T23:13:08,30.0572,107.874,576,6,450,,"Chongqing, China",CN,ChinaChongqing-2020-03-01T23:13:08,,
0,-,Sichuan,China,2020-03-01T11:43:02,30.6171,102.7103,538,3,365,,"Sichuan, China",CN,ChinaSichuan-2020-03-01T11:43:02,,
0,-,Heilongjiang,China,2020-03-01T11:33:03,47.862,127.7615,480,13,342,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-03-01T11:33:03,,
0,-,Beijing,China,2020-03-01T02:53:03,40.1824,116.4142,413,8,276,,"Beijing, China",CN,ChinaBeijing-2020-03-01T02:53:03,,
0,-,Shanghai,China,2020-03-01T07:13:07,31.202,121.4491,337,3,290,,"Shanghai, China",CN,ChinaShanghai-2020-03-01T07:13:07,,
0,-,Hebei,China,2020-03-01T14:13:18,38.0428,114.5149,318,6,294,,"Hebei, China",CN,ChinaHebei-2020-03-01T14:13:18,,
0,-,Fujian,China,2020-03-01T09:43:03,26.0789,117.9874,296,1,247,,"Fujian, China",CN,ChinaFujian-2020-03-01T09:43:03,,
0,-,-,Japan,2020-03-01T23:33:03,36,138,256,6,32,,Japan,JP,Japan--2020-03-01T23:33:03,,
0,-,Guangxi,China,2020-03-01T09:43:03,23.8298,108.7881,252,2,181,,"Guangxi, China",CN,ChinaGuangxi-2020-03-01T09:43:03,,
0,-,Shaanxi,China,2020-03-01T09:43:03,35.1917,108.8701,245,1,208,,"Shaanxi, China",CN,ChinaShaanxi-2020-03-01T09:43:03,,
0,-,Yunnan,China,2020-03-01T07:13:07,24.974,101.487,174,2,163,,"Yunnan, China",CN,ChinaYunnan-2020-03-01T07:13:07,,
0,-,Hainan,China,2020-03-01T10:13:38,19.1959,109.7453,168,5,149,,"Hainan, China",CN,ChinaHainan-2020-03-01T10:13:38,,
0,-,Guizhou,China,2020-02-27T00:43:02,26.8154,106.8748,146,2,112,,"Guizhou, China",CN,ChinaGuizhou-2020-02-27T00:43:02,,
0,-,Tianjin,China,2020-03-01T12:43:02,39.3054,117.323,136,3,111,,"Tianjin, China",CN,ChinaTianjin-2020-03-01T12:43:02,,
0,-,Shanxi,China,2020-03-01T23:13:08,37.5777,112.2922,133,0,116,,"Shanxi, China",CN,ChinaShanxi-2020-03-01T23:13:08,,
0,-,-,France,2020-03-01T20:43:02,47,2,130,2,12,,France,FR,France--2020-03-01T20:43:02,,
0,-,-,Germany,2020-03-01T23:23:02,51,9,130,0,16,,Germany,DE,Germany--2020-03-01T23:23:02,,
0,-,Liaoning,China,2020-03-01T12:23:06,41.2956,122.6085,122,1,103,,"Liaoning, China",CN,ChinaLiaoning-2020-03-01T12:23:06,,
0,-,-,Singapore,2020-03-01T23:23:02,1.2833,103.8333,106,0,72,,Singapore,SG,Singapore--2020-03-01T23:23:02,,
0,-,Hong Kong,Hong Kong,2020-03-01T14:33:16,22.3,114.2,96,2,36,,"Hong Kong, Hong Kong",HK,Hong KongHong Kong-2020-03-01T14:33:16,,
0,-,Jilin,China,2020-03-01T09:43:03,43.6661,126.1923,93,1,78,,"Jilin, China",CN,ChinaJilin-2020-03-01T09:43:03,,
0,-,Gansu,China,2020-03-01T14:33:17,36.0611,103.8343,91,2,84,,"Gansu, China",CN,ChinaGansu-2020-03-01T14:33:17,,
0,-,-,Spain,2020-03-01T23:33:03,40,-4,84,0,2,,Spain,ES,Spain--2020-03-01T23:33:03,,
0,-,Xinjiang,China,2020-03-01T10:03:03,41.1129,85.2401,76,3,64,,"Xinjiang, China",CN,ChinaXinjiang-2020-03-01T10:03:03,,
