FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Hubei,China,2020-03-02T15:03:23,30.9756,112.2707,67103,2803,33934,,"Hubei, China",CN,ChinaHubei-2020-03-02T15:03:23,0,0
0,-,-,South Korea,2020-03-02T20:23:16,36,128,4335,28,30,,South Korea,KR,South Korea--2020-03-02T20:23:16,,
0,-,-,Italy,2020-03-02T20:23:16,43,12,2036,52,149,,Italy,IT,Italy--2020-03-02T20:23:16,,
0,-,-,Iran,2020-03-02T20:23:16,32,53,1501,66,291,,Iran,IR,Iran--2020-03-02T20:23:16,,
0,-,Guangdong,China,2020-03-02T15:03:23,23.3417,113.4244,1350,7,1059,,"Guangdong, China",CN,ChinaGuangdong-2020-03-02T15:03:23,,
0,-,Henan,China,2020-03-02T11:43:03,33.882,113.614,1272,22,1205,,"Henan, China",CN,ChinaHenan-2020-03-02T11:43:03,,
0,-,Zhejiang,China,2020-03-02T11:43:03,29.1832,120.0934,1206,1,1069,,"Zhejiang, China",CN,ChinaZhejiang-2020-03-02T11:43:03,,
0,-,Hunan,China,2020-03-02T11:43:03,27.6104,111.7088,1018,4,887,,"Hunan, China",CN,ChinaHunan-2020-03-02T11:43:03,,
0,-,Anhui,China,2020-03-02T15:03:23,31.8257,117.2264,990,6,917,,"Anhui, China",CN,ChinaAnhui-2020-03-02T15:03:23,,
0,-,Jiangxi,China,2020-03-02T01:33:02,27.614,115.7221,935,1,850,,"Jiangxi, China",CN,ChinaJiangxi-2020-03-02T01:33:02,, 
0,-,Shandong,China,2020-03-02T08:03:12,36.3427,118.1498,758,6,460,,"Shandong, China",CN,ChinaShandong-2020-03-02T08:03:12,, 
0,-,Diamond Princess cruise ship,Others,2020-03-02T14:33:03,35.4437,139.638,705,6,10,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-03-02T14:33:03,,44
0,-,Jiangsu,China,2020-03-02T12:53:02,32.9711,119.455,631,0,543,,"Jiangsu, China",CN,ChinaJiangsu-2020-03-02T12:53:02,,
0,-,Chongqing,China,2020-03-02T23:23:02,30.0572,107.874,576,6,469,,"Chongqing, China",CN,ChinaChongqing-2020-03-02T23:23:02,,
0,-,Sichuan,China,2020-03-02T15:03:23,30.6171,102.7103,538,3,386,,"Sichuan, China",CN,ChinaSichuan-2020-03-02T15:03:23,,
0,-,Heilongjiang,China,2020-03-02T12:53:02,47.862,127.7615,480,13,356,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-03-02T12:53:02,,
0,-,Beijing,China,2020-03-02T02:13:16,40.1824,116.4142,414,8,282,,"Beijing, China",CN,ChinaBeijing-2020-03-02T02:13:16,,
0,-,Shanghai,China,2020-03-02T04:03:13,31.202,121.4491,337,3,292,,"Shanghai, China",CN,ChinaShanghai-2020-03-02T04:03:13,,
0,-,Hebei,China,2020-03-02T09:43:05,38.0428,114.5149,318,6,296,,"Hebei, China",CN,ChinaHebei-2020-03-02T09:43:05,,
0,-,Fujian,China,2020-03-02T12:53:02,26.0789,117.9874,296,1,255,,"Fujian, China",CN,ChinaFujian-2020-03-02T12:53:02,,
0,-,-,Japan,2020-03-02T20:33:02,36,138,274,6,32,,Japan,JP,Japan--2020-03-02T20:33:02,,
0,-,Guangxi,China,2020-03-02T12:53:02,23.8298,108.7881,252,2,192,,"Guangxi, China",CN,ChinaGuangxi-2020-03-02T12:53:02,,
0,-,Shaanxi,China,2020-03-02T08:03:12,35.1917,108.8701,245,1,216,,"Shaanxi, China",CN,ChinaShaanxi-2020-03-02T08:03:12,,
0,-,-,France,2020-03-02T20:33:02,47,2,191,3,12,,France,FR,France--2020-03-02T20:33:02,,
0,-,Yunnan,China,2020-03-02T06:23:04,24.974,101.487,174,2,168,,"Yunnan, China",CN,ChinaYunnan-2020-03-02T06:23:04,,
0,-,Hainan,China,2020-03-02T02:03:18,19.1959,109.7453,168,5,151,,"Hainan, China",CN,ChinaHainan-2020-03-02T02:03:18,,
0,-,-,Germany,2020-03-02T20:33:02,51,9,159,0,16,,Germany,DE,Germany--2020-03-02T20:33:02,,
0,-,Guizhou,China,2020-03-02T01:13:06,26.8154,106.8748,146,2,114,,"Guizhou, China",CN,ChinaGuizhou-2020-03-02T01:13:06,,
