FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Anhui,China,1/22/2020,0,0,1,0,0,0,"Anhui, China",CN,ChinaAnhui 43852,0,0
0,-,Beijing,China,1/22/2020,,,14,,,,"Beijing, China",CN,ChinaBeijing43852,,
0,-,Chongqing,China,1/22/2020,,,6,,,,"Chongqing, China",CN,ChinaChongqing43852,,
0,-,Fujian,China,1/22/2020,,,1,,,,"Fujian, China",CN,ChinaFujian43852,,
0,-,Gansu,China,1/22/2020,,,,,,,"Gansu, China",CN,ChinaGansu43852,,
0,-,Guangdong,China,1/22/2020,,,26,,,,"Guangdong, China",CN,ChinaGuangdong43852,,
0,-,Guangxi,China,1/22/2020,,,2,,,,"Guangxi, China",CN,ChinaGuangxi43852,,
0,-,Guizhou,China,1/22/2020,,,1,,,,"Guizhou, China",CN,ChinaGuizhou43852,,
0,-,Hainan,China,1/22/2020,,,4,,,,"Hainan, China",CN,ChinaHainan43852,,
0,-,Hebei,China,1/22/2020,,,1,,,,"Hebei, China",CN,ChinaHebei43852,,
0,-,Heilongjiang,China,1/22/2020,,,,,,,"Heilongjiang, China",CN,ChinaHeilongjiang43852,,
0,-,Henan,China,1/22/2020,,,5,,,,"Henan, China",CN,ChinaHenan43852,,
0,-,Hong Kong,Hong Kong,1/22/2020,,,,,,,"Hong Kong, Hong Kong",HK,Hong KongHong Kong43852,,
0,-,Hubei,China,1/22/2020,,,444,17,28,,"Hubei, China",CN,ChinaHubei43852,,
0,-,Hunan,China,1/22/2020,,,4,,,,"Hunan, China",CN,ChinaHunan43852,,
0,-,Inner Mongolia,China,1/22/2020,,,,,,,"Inner Mongolia, China",CN,ChinaInner Mongolia43852,,
0,-,Jiangsu,China,1/22/2020,,,1,,,,"Jiangsu, China",CN,ChinaJiangsu43852,,
0,-,Jiangxi,China,1/22/2020,,,2,,,,"Jiangxi, China",CN,ChinaJiangxi43852,,
0,-,Jilin,China,1/22/2020,,,,,,,"Jilin, China",CN,ChinaJilin43852,,
0,-,Liaoning,China,1/22/2020,,,2,,,,"Liaoning, China",CN,ChinaLiaoning43852,,
0,-,Macau,Macau,1/22/2020,,,1,,,,"Macau, Macau",MO,MacauMacau43852,,
0,-,Ningxia,China,1/22/2020,,,1,,,,"Ningxia, China",CN,ChinaNingxia43852,,
0,-,Qinghai,China,1/22/2020,,,,,,,"Qinghai, China",CN,ChinaQinghai43852,,
0,-,Shaanxi,China,1/22/2020,,,,,,,"Shaanxi, China",CN,ChinaShaanxi43852,,
0,-,Shandong,China,1/22/2020,,,2,,,,"Shandong, China",CN,ChinaShandong43852,,
0,-,Shanghai,China,1/22/2020,,,9,,,,"Shanghai, China",CN,ChinaShanghai43852,,
0,-,Shanxi,China,1/22/2020,,,1,,,,"Shanxi, China",CN,ChinaShanxi43852,,
0,-,Sichuan,China,1/22/2020,,,5,,,,"Sichuan, China",CN,ChinaSichuan43852,,
0,-,Taiwan,Taiwan,1/22/2020,,,1,,,,"Taiwan, Taiwan",TW,TaiwanTaiwan43852,,
0,-,Tianjin,China,1/22/2020,,,4,,,,"Tianjin, China",CN,ChinaTianjin43852,,
0,-,Tibet,China,1/22/2020,,,,,,,"Tibet, China",CN,ChinaTibet43852,,
0,Seattle,Washington,US,1/22/2020,,,1,,,,"Seattle, Washington, US",US,USWashingtonSeattle43852,,
0,-,Xinjiang,China,1/22/2020,,,,,,,"Xinjiang, China",CN,ChinaXinjiang43852,,
0,-,Yunnan,China,1/22/2020,,,1,,,,"Yunnan, China",CN,ChinaYunnan43852,,
0,-,Zhejiang,China,1/22/2020,,,10,,,,"Zhejiang, China",CN,ChinaZhejiang43852,,
0,-,-,Japan,1/22/2020,,,2,,,,Japan,JP,Japan-43852,,
0,-,-,Thailand,1/22/2020,,,2,,,,Thailand,TH,Thailand-43852,,
0,-,-,South Korea,1/22/2020,,,1,,,,South Korea,KR,South Korea-43852,,
