FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-19T23:23:02,,,62031,2029,10337,,"Hubei, China",CN,ChinaHubei-2020-02-19T23:23:02
0,-,Guangdong,China,2020-02-19T10:23:02,,,1331,5,606,,"Guangdong, China",CN,ChinaGuangdong-2020-02-19T10:23:02
0,-,Henan,China,2020-02-19T12:13:08,,,1262,19,573,,"Henan, China",CN,ChinaHenan-2020-02-19T12:13:08
0,-,Zhejiang,China,2020-02-19T11:33:02,,,1174,0,604,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-19T11:33:02
0,-,Hunan,China,2020-02-19T11:33:02,,,1008,4,561,,"Hunan, China",CN,ChinaHunan-2020-02-19T11:33:02
0,-,Anhui,China,2020-02-19T14:13:03,,,986,6,413,,"Anhui, China",CN,ChinaAnhui-2020-02-19T14:13:03
0,-,Jiangxi,China,2020-02-19T01:23:07,,,934,1,362,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-19T01:23:07
0,-,Jiangsu,China,2020-02-19T12:13:08,,,631,0,318,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-19T12:13:08
0,-,Diamond Princess cruise ship,Others,2020-02-19T20:33:02,,,621,0,1,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-02-19T20:33:02
0,-,Chongqing,China,2020-02-19T23:23:02,,,560,5,274,,"Chongqing, China",CN,ChinaChongqing-2020-02-19T23:23:02
0,-,Shandong,China,2020-02-19T12:03:07,,,544,3,231,,"Shandong, China",CN,ChinaShandong-2020-02-19T12:03:07
0,-,Sichuan,China,2020-02-19T13:53:02,,,514,3,188,,"Sichuan, China",CN,ChinaSichuan-2020-02-19T13:53:02
0,-,Heilongjiang,China,2020-02-19T11:03:08,,,470,12,120,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-19T11:03:08
0,-,Beijing,China,2020-02-19T04:53:02,,,393,4,145,,"Beijing, China",CN,ChinaBeijing-2020-02-19T04:53:02
0,-,Shanghai,China,2020-02-19T04:43:02,,,333,2,186,,"Shanghai, China",CN,ChinaShanghai-2020-02-19T04:43:02
0,-,Hebei,China,2020-02-19T13:23:02,,,306,4,152,,"Hebei, China",CN,ChinaHebei-2020-02-19T13:23:02
