FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Hubei,China,2020-02-26T14:13:10,,,65187,2615,20969,,"Hubei, China",CN,ChinaHubei-2020-02-26T14:13:10,0,0
0,-,Guangdong,China,2020-02-26T10:33:02,,,1347,7,851,,"Guangdong, China",CN,ChinaGuangdong-2020-02-26T10:33:02,,
0,-,Henan,China,2020-02-26T10:33:02,,,1271,19,1033,,"Henan, China",CN,ChinaHenan-2020-02-26T10:33:02,,
0,-,,South Korea,2020-02-26T11:03:11,,,1261,12,22,,South Korea,KR,South Korea-2020-02-26T11:03:11,,
0,-,Zhejiang,China,2020-02-26T10:33:02,,,1205,1,867,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-26T10:33:02,,
0,-,Hunan,China,2020-02-26T10:13:11,,,1016,4,783,,"Hunan, China",CN,ChinaHunan-2020-02-26T10:13:11,,
0,-,Anhui,China,2020-02-26T10:13:11,,,989,6,744,,"Anhui, China",CN,ChinaAnhui-2020-02-26T10:13:11,,
0,-,Jiangxi,China,2020-02-26T01:13:04,,,934,1,719,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-26T01:13:04,,
0,-,Shandong,China,2020-02-26T12:43:02,,,756,6,377,,"Shandong, China",CN,ChinaShandong-2020-02-26T12:43:02,,
0,-,Diamond Princess cruise ship,Others,2020-02-26T19:33:02,,,705,4,10,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-02-26T19:33:02,,44
0,-,Jiangsu,China,2020-02-26T10:13:11,,,631,0,478,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-26T10:13:11,,
0,-,Chongqing,China,2020-02-26T23:43:02,,,576,6,384,,"Chongqing, China",CN,ChinaChongqing-2020-02-26T23:43:02,,
0,-,Sichuan,China,2020-02-26T10:13:11,,,531,3,307,,"Sichuan, China",CN,ChinaSichuan-2020-02-26T10:13:11,,
0,-,Heilongjiang,China,2020-02-26T10:33:02,,,480,12,249,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-26T10:33:02,,
0,-,,Italy,2020-02-26T23:43:03,,,453,12,3,,Italy,IT,Italy-2020-02-26T23:43:03,,
0,-,Beijing,China,2020-02-26T00:53:02,,,400,4,235,,"Beijing, China",CN,ChinaBeijing-2020-02-26T00:53:02,,
0,-,Shanghai,China,2020-02-26T23:53:01,,,337,3,272,,"Shanghai, China",CN,ChinaShanghai-2020-02-26T23:53:01,,
0,-,Hebei,China,2020-02-26T10:33:02,,,312,6,261,,"Hebei, China",CN,ChinaHebei-2020-02-26T10:33:02,,
