FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,Hubei,China,2020-02-27T12:13:14,,,65596,2641,23383,,"Hubei, China",CN,ChinaHubei-2020-02-27T12:13:14,0,0
0,-,-,South Korea,2020-02-27T12:03:04,,,1766,13,22,,South Korea,KR,South Korea--2020-02-27T12:03:04,,
0,-,Guangdong,China,2020-02-27T09:53:02,,,1347,7,890,,"Guangdong, China",CN,ChinaGuangdong-2020-02-27T09:53:02,,
0,-,Henan,China,2020-02-27T15:03:11,,,1272,20,1068,,"Henan, China",CN,ChinaHenan-2020-02-27T15:03:11,,
0,-,Zhejiang,China,2020-02-27T12:43:02,,,1205,1,932,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-27T12:43:02,,
0,-,Hunan,China,2020-02-27T12:43:02,,,1017,4,804,,"Hunan, China",CN,ChinaHunan-2020-02-27T12:43:02,,
0,-,Anhui,China,2020-02-27T14:13:06,,,989,6,792,,"Anhui, China",CN,ChinaAnhui-2020-02-27T14:13:06,,
0,-,Jiangxi,China,2020-02-27T01:43:02,,,934,1,754,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-27T01:43:02,,
0,-,Shandong,China,2020-02-27T14:13:06,,,756,6,387,,"Shandong, China",CN,ChinaShandong-2020-02-27T14:13:06,,
0,-,Diamond Princess cruise ship,Others,2020-02-26T19:33:02,,,705,4,10,,"Diamond Princess cruise ship, Others",-,OthersDiamond Princess cruise ship-2020-02-26T19:33:02,,44
0,-,-,Italy,2020-02-27T23:23:02,,,655,17,45,,Italy,IT,Italy--2020-02-27T23:23:02,,
0,-,Jiangsu,China,2020-02-27T14:13:06,,,631,0,498,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-27T14:13:06,,
0,-,Chongqing,China,2020-02-27T23:23:02,,,576,6,401,,"Chongqing, China",CN,ChinaChongqing-2020-02-27T23:23:02,,
0,-,Sichuan,China,2020-02-27T12:43:02,,,534,3,321,,"Sichuan, China",CN,ChinaSichuan-2020-02-27T12:43:02,,
0,-,Heilongjiang,China,2020-02-27T12:43:02,,,480,13,270,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-27T12:43:02,,
0,-,Beijing,China,2020-02-27T02:23:13,,,410,5,248,,"Beijing, China",CN,ChinaBeijing-2020-02-27T02:23:13,,
0,-,Shanghai,China,2020-02-27T04:03:12,,,337,3,276,,"Shanghai, China",CN,ChinaShanghai-2020-02-27T04:03:12,,
0,-,Hebei,China,2020-02-27T12:43:02,,,317,6,274,,"Hebei, China",CN,ChinaHebei-2020-02-27T12:43:02,,
0,-,Fujian,China,2020-02-27T10:03:07,,,296,1,228,,"Fujian, China",CN,ChinaFujian-2020-02-27T10:03:07,,
0,-,Guangxi,China,2020-02-27T10:03:07,,,252,2,161,,"Guangxi, China",CN,ChinaGuangxi-2020-02-27T10:03:07,,
