FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-10T23:33:02,,,31728,974,2222,,"Hubei, China",CN,ChinaHubei-2020-02-10T23:33:02
0,-,Guangdong,China,2020-02-10T13:43:02,,,1159,1,167,,"Guangdong, China",CN,ChinaGuangdong-2020-02-10T13:43:02
0,-,Zhejiang,China,2020-02-10T14:13:12,,,1092,0,242,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-10T14:13:12
0,-,Henan,China,2020-02-10T13:53:02,,,1073,6,191,,"Henan, China",CN,ChinaHenan-2020-02-10T13:53:02
0,-,Hunan,China,2020-02-10T13:53:02,,,879,1,208,,"Hunan, China",CN,ChinaHunan-2020-02-10T13:53:02
0,-,Anhui,China,2020-02-10T07:23:04,,,830,3,88,,"Anhui, China",CN,ChinaAnhui-2020-02-10T07:23:04
0,-,Jiangxi,China,2020-02-10T13:53:02,,,771,1,105,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-10T13:53:02
0,-,Jiangsu,China,2020-02-10T14:03:05,,,492,0,81,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-10T14:03:05
0,-,Chongqing,China,2020-02-10T23:43:02,,,486,2,66,,"Chongqing, China",CN,ChinaChongqing-2020-02-10T23:43:02
0,-,Shandong,China,2020-02-10T09:33:02,,,466,1,66,,"Shandong, China",CN,ChinaShandong-2020-02-10T09:33:02
0,-,Sichuan,China,2020-02-10T10:03:02,,,405,1,80,,"Sichuan, China",CN,ChinaSichuan-2020-02-10T10:03:02
0,-,Beijing,China,2020-02-10T03:13:08,,,337,2,44,,"Beijing, China",CN,ChinaBeijing-2020-02-10T03:13:08
0,-,Heilongjiang,China,2020-02-10T07:33:05,,,331,7,30,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-10T07:33:05
0,-,Shanghai,China,2020-02-10T06:03:13,,,299,1,48,,"Shanghai, China",CN,ChinaShanghai-2020-02-10T06:03:13
0,-,Fujian,China,2020-02-10T14:03:05,,,261,0,39,,"Fujian, China",CN,ChinaFujian-2020-02-10T14:03:05
