FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-16T23:53:01,,,58182,1696,6639,,"Hubei, China",CN,ChinaHubei-2020-02-16T23:53:01
0,-,Guangdong,China,2020-02-16T12:03:06,,,1316,2,465,,"Guangdong, China",CN,ChinaGuangdong-2020-02-16T12:03:06
0,-,Henan,China,2020-02-16T13:53:03,,,1231,13,440,,"Henan, China",CN,ChinaHenan-2020-02-16T13:53:03
0,-,Zhejiang,China,2020-02-16T09:33:02,,,1167,0,456,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-16T09:33:02
0,-,Hunan,China,2020-02-16T13:13:04,,,1004,3,464,,"Hunan, China",CN,ChinaHunan-2020-02-16T13:13:04
0,-,Anhui,China,2020-02-16T08:33:02,,,962,6,255,,"Anhui, China",CN,ChinaAnhui-2020-02-16T08:33:02
0,-,Jiangxi,China,2020-02-16T10:03:06,,,925,1,240,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-16T10:03:06
0,-,Jiangsu,China,2020-02-16T09:33:02,,,617,0,218,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-16T09:33:02
0,-,Chongqing,China,2020-02-16T23:53:01,,,551,5,207,,"Chongqing, China",CN,ChinaChongqing-2020-02-16T23:53:01
0,-,Shandong,China,2020-02-16T12:03:06,,,537,2,173,,"Shandong, China",CN,ChinaShandong-2020-02-16T12:03:06
0,-,Sichuan,China,2020-02-16T10:03:06,,,481,3,131,,"Sichuan, China",CN,ChinaSichuan-2020-02-16T10:03:06
0,-,Heilongjiang,China,2020-02-16T13:53:03,,,445,11,79,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-16T13:53:03
0,-,Beijing,China,2020-02-16T10:03:06,,,380,4,108,,"Beijing, China",CN,ChinaBeijing-2020-02-16T10:03:06
0,-,Diamond Princess cruise ship,Others,2020-02-16T03:43:02,,,355,0,0,,"Diamond Princess cruise ship, Others",CN,OthersDiamond Princess cruise ship-2020-02-16T03:43:02
0,-,Shanghai,China,2020-02-16T02:53:02,,,328,1,140,,"Shanghai, China",CN,ChinaShanghai-2020-02-16T02:53:02
0,-,Hebei,China,2020-02-16T12:03:06,,,300,3,105,,"Hebei, China",CN,ChinaHebei-2020-02-16T12:03:06
0,-,Fujian,China,2020-02-16T12:03:06,,,287,0,82,,"Fujian, China",-,ChinaFujian-2020-02-16T12:03:06
0,-,Guangxi,China,2020-02-16T12:03:06,,,237,2,49,,"Guangxi, China",CN,ChinaGuangxi-2020-02-16T12:03:06
0,-,Shaanxi,China,2020-02-16T13:53:03,,,236,0,71,,"Shaanxi, China",CN,ChinaShaanxi-2020-02-16T13:53:03
0,-,Yunnan,China,2020-02-16T09:53:01,,,171,0,42,,"Yunnan, China",CN,ChinaYunnan-2020-02-16T09:53:01
0,-,Hainan,China,2020-02-16T12:03:06,,,162,4,52,,"Hainan, China",CN,ChinaHainan-2020-02-16T12:03:06
0,-,Guizhou,China,2020-02-16T09:13:09,,,144,1,46,,"Guizhou, China",CN,ChinaGuizhou-2020-02-16T09:13:09
0,-,Shanxi,China,2020-02-16T23:53:01,,,129,0,50,,"Shanxi, China",CN,ChinaShanxi-2020-02-16T23:53:01
0,-,Tianjin,China,2020-02-16T12:23:02,,,124,3,45,,"Tianjin, China",CN,ChinaTianjin-2020-02-16T12:23:02
0,-,Liaoning,China,2020-02-16T12:03:06,,,121,1,40,,"Liaoning, China",CN,ChinaLiaoning-2020-02-16T12:03:06
0,-,Gansu,China,2020-02-16T13:53:03,,,90,2,54,,"Gansu, China",CN,ChinaGansu-2020-02-16T13:53:03
0,-,Jilin,China,2020-02-16T10:03:06,,,89,1,30,,"Jilin, China",CN,ChinaJilin-2020-02-16T10:03:06
0,-,-,Singapore,2020-02-16T16:23:06,,,75,0,18,,Singapore,SG,Singapore--2020-02-16T16:23:06
0,-,Xinjiang,China,2020-02-16T08:33:02,,,71,1,12,,"Xinjiang, China",CN,ChinaXinjiang-2020-02-16T08:33:02
0,-,Inner Mongolia,China,2020-02-16T08:33:02,,,70,0,8,,"Inner Mongolia, China",CN,ChinaInner Mongolia-2020-02-16T08:33:02
0,-,Ningxia,China,2020-02-15T08:43:03,,,70,0,33,,"Ningxia, China",CN,ChinaNingxia-2020-02-15T08:43:03
0,-,-,Japan,2020-02-16T17:43:03,,,59,1,12,,Japan,HK,Japan--2020-02-16T17:43:03
