FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-02T23:43:02,,,11177,350,295,,"Hubei, China",CN,ChinaHubei-2020-02-02T23:43:02
0,-,Zhejiang,China,2020-02-02T18:03:05,,,661,0,32,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-02T18:03:05
0,-,Guangdong,China,2020-02-02T18:03:05,,,632,0,15,,"Guangdong, China",CN,ChinaGuangdong-2020-02-02T18:03:05
0,-,Henan,China,2020-02-02T18:03:05,,,493,2,10,,"Henan, China",CN,ChinaHenan-2020-02-02T18:03:05
0,-,Hunan,China,2020-02-02T18:03:05,,,463,0,16,,"Hunan, China",CN,ChinaHunan-2020-02-02T18:03:05
0,-,Anhui,China,2020-02-02T18:03:05,,,340,0,7,,"Anhui, China",CN,ChinaAnhui-2020-02-02T18:03:05
0,-,Jiangxi,China,2020-02-02T18:03:05,,,333,0,12,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-02T18:03:05
0,-,Chongqing,China,2020-02-02T23:33:02,,,300,2,7,,"Chongqing, China",CN,ChinaChongqing-2020-02-02T23:33:02
0,-,Jiangsu,China,2020-02-02T18:03:05,,,236,0,7,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-02T18:03:05
0,-,Sichuan,China,2020-02-02T18:03:05,,,231,1,11,,"Sichuan, China",CN,ChinaSichuan-2020-02-02T18:03:05
0,-,Shandong,China,2020-02-02T18:03:05,,,230,0,6,,"Shandong, China",CN,ChinaShandong-2020-02-02T18:03:05
0,-,Beijing,China,2020-02-02T08:43:02,,,191,1,9,,"Beijing, China",CN,ChinaBeijing-2020-02-02T08:43:02
0,-,Shanghai,China,2020-02-02T05:53:02,,,182,1,10,,"Shanghai, China",CN,ChinaShanghai-2020-02-02T05:53:02
0,-,Fujian,China,2020-02-02T03:43:01,,,159,0,0,,"Fujian, China",CN,ChinaFujian-2020-02-02T03:43:01
0,-,Shaanxi,China,2020-02-02T03:23:14,,,116,0,0,,"Shaanxi, China",CN,ChinaShaanxi-2020-02-02T03:23:14
